uid,cid,workload,strategy
5f05056acc8d327f2948bbc0,SU,2,I don't know what to say. I didn't use any particular strategies and nothing was particularly difficult or easy.
5e8fa4b58028052a7880c8ac,SU,4,Tried to focus on all the text. Text a bit small on my laptop
5c1d0cc2e2d9150001b599fa,SU,2,I just counted how many times each of the options came up.
5cff9c20c7ed63000188e9c5,SU,2,I just looked 
5f2d4939e1b8742bba60a1e4,SU,2,combinations were hard but questions about one thing were strightforward
5f2c831ca1dd731731121d60,SU,2,I had a scrap book next to me to use to jot down the combinations. It really helped me as I wouldn't forget and start over. The easiest ones were finding what combinations causes High/Low Risk and the hardest were finding which combinations appeared most often.
5c43724ab00b3300018f49bf,SU,2,Easy-predicting outcome Hard-Keeping track of combinations
5cd08e2ff59e0a0013563602,SU,2,The main strategy I utilized was counting which symbol was most prevalent when looking for a specific condition. This seemed to be the easiest way to go about things without making it overly confusing. 
5f4ea17781df140b24213eed,SU,4,I found it difficult to process all of the numbers at once so I looked through the rows one at a time and made a mental note of combinations 
5f3d2e6a0f32b804d33c162b,SU,4,They were all easy except Question 10 could not be predicted as had the same amount of answers in both M and H high risk categories. I counted.
5a6c076fd5d4cb0001d65a17,SU,2,"I first identified where on the chart I'm looking - when looking for value outcomes - I'm looking at the left side for all occurrences of what value or combos provided, if a single factor, it's easier to just count the number of times it shows up under H risk vs. L risk; with multiples - I do the same, but first look for only where both/all combined factors exist - and then which they showed up most for - L or H risk.  For the second part, I first only looked at the L or H risk groups based on the question, then looked for each occurrence of the factor given and what the most common value was, or first looked for the right combination of factors and what the most common value was for each in only those rows where both occurred. 
The most difficult part what keeping track of what I'd counted for each factor - but since it was limited to two combination factors at once, I was still able to keep track without writing it down. But if it was more complicated - maybe I'd need to write it down. I also used process of elimination to narrow down how many rows I even needed to look at. That also helped to simplify."
5eb19ec151b7092bae964c92,SU,1,I group them up
5ef504d47faaa01261c64983,SU,2,"It was a little like matching and keeping count. How many times you saw L, M, or H"
5f43f7980ce1236cd3d256e5,SU,1,"Read rules slowly, and count the combinations. Its logic in word form. "
5ed0e57a59e3fc1c70a782b9,SU,4,"finding out each individual component and counting the amount of l,m,h and dividing by the average. As the data was so similar it was hard to pick out each item. "
5dd71029c944d16b0668c95f,SU,4,count up the names and amount of each individual l/m/h
56f81ffe1b99b8000636b9c8,SU,4,"Scanned quickly to see which R-numbered item on the list contained the categories I was looking for, and then counted the number of 'm's and 'h's up on my fingers"
5a8f13595292b80001235e09,SU,2,I just used the charts and instructions before.
5f5d31087a4abb5718b814d6,SU,3,no
5f080e327d6f3f0009992faf,SU,4,I honestly dont know I just kinda did it I dont really know
5f36b817c592230c67533ae3,SU,1,It was difficult to predict the outcome when considering a combination of conditions. 
5e9bcccaf08add0db471c5a8,SU,2,When searching for criteria i'd avoid looking at any critera which wasn't necessary. Combinations where there were large amounts of two possible answers (Medium or High) were a lot harder
5f491f40c53d36421f2a6bf5,SU,1,Look if both objects exist in the row first before i see what is the value when answering the combination questions
5e9bca9fb3c35c0e577fb2f6,SU,1,"I approached it as I would a problem solving question or puzzle, and this made it fun for me "
5c02a8f12c022f000191edbb,SU,2,I read all information and took decisions based on it. The task was moderately easy I would say.
5f2aec347b4ac542bc5f34d6,SU,2,Simple math
5f58140ca41f0037c385bc5c,SU,2,"The last 3 questions were the most difficult.
To answer I wrote down on a piece of paper all the possible combinations"
5efe640e0c3da136c6575e74,SU,2,process of elimination
